quote,author,tags,last_updated_at_UTC
"“If you want your children to be intelligent, read them fairy tales. If you want them to be more intelligent, read them more fairy tales.”",Albert Einstein,"children,fairy-tales",10-Nov-2021 15:27:23
"“It is impossible to live without failing at something, unless you live so cautiously that you might as well not have lived at all - in which case, you fail by default.”",J.K. Rowling,,10-Nov-2021 15:27:23
“Logic will get you from A to Z; imagination will get you everywhere.”,Albert Einstein,imagination,10-Nov-2021 15:27:23
"“One good thing about music, when it hits you, you feel no pain.”",Bob Marley,music,10-Nov-2021 15:27:23
"“The more that you read, the more things you will know. The more that you learn, the more places you'll go.”",Dr. Seuss,"learning,reading,seuss",10-Nov-2021 15:27:25
"“Of course it is happening inside your head, Harry, but why on earth should that mean that it is not real?”",J.K. Rowling,dumbledore,10-Nov-2021 15:27:25
"“The truth is, everyone is going to hurt you. You just got to find the ones worth suffering for.”",Bob Marley,friendship,10-Nov-2021 15:27:25
“Not all of us can do great things. But we can do small things with great love.”,Mother Teresa,"misattributed-to-mother-teresa,paraphrased",10-Nov-2021 15:27:25
"“To the well-organized mind, death is but the next great adventure.”",J.K. Rowling,"death,inspirational",10-Nov-2021 15:27:25
“All you need is love. But a little chocolate now and then doesn't hurt.”,Charles M. Schulz,"chocolate,food,humor",10-Nov-2021 15:27:25
“We read to know we're not alone.”,William Nicholson,"misattributed-to-c-s-lewis,reading",10-Nov-2021 15:27:25
“Any fool can know. The point is to understand.”,Albert Einstein,"knowledge,learning,understanding,wisdom",10-Nov-2021 15:27:25
“I have always imagined that Paradise will be a kind of library.”,Jorge Luis Borges,"books,library",10-Nov-2021 15:27:25
“It is never too late to be what you might have been.”,George Eliot,inspirational,10-Nov-2021 15:27:25
"“A reader lives a thousand lives before he dies, said Jojen. The man who never reads lives only one.”",George R.R. Martin,"read,readers,reading,reading-books",10-Nov-2021 15:27:27
“You can never get a cup of tea large enough or a book long enough to suit me.”,C.S. Lewis,"books,inspirational,reading,tea",10-Nov-2021 15:27:27
“You believe lies so you eventually learn to trust no one but yourself.”,Marilyn Monroe,,10-Nov-2021 15:27:27
"“If you can make a woman laugh, you can make her do anything.”",Marilyn Monroe,"girls,love",10-Nov-2021 15:27:27
"“Life is like riding a bicycle. To keep your balance, you must keep moving.”",Albert Einstein,"life,simile",10-Nov-2021 15:27:27
“The real lover is the man who can thrill you by kissing your forehead or smiling into your eyes or just staring into space.”,Marilyn Monroe,love,10-Nov-2021 15:27:27
